Matching text,URI,Label text
"Education, Elementary",http://id.worldcat.org/fast/902945,"Education, Elementary"
"Education, Secondary",http://id.worldcat.org/fast/903252,"Education, Secondary"
educational institutions,http://id.worldcat.org/fast/1107958,Schools
Educational tests and measurements,http://id.worldcat.org/fast/903660,Educational tests and measurements
Eelgrass,http://id.worldcat.org/fast/903744,Eelgrass
Election districts,http://id.worldcat.org/fast/904291,Election districts
Elections,http://id.worldcat.org/fast/904324,Elections
Electric lines,http://id.worldcat.org/fast/905095,Electric lines
Electric power-plants,http://id.worldcat.org/fast/905639,Electric power-plants
Electric substations,http://id.worldcat.org/fast/905909,Electric substations
Electric utilities,http://id.worldcat.org/fast/905974,Electric utilities
Elementary schools,http://id.worldcat.org/fast/907975,Elementary schools
Emergency housing,http://id.worldcat.org/fast/908492,Emergency housing
Emergency management,http://id.worldcat.org/fast/908500,Emergency management
Employment forecasting,http://id.worldcat.org/fast/909353,Employment forecasting
Endangered plants,http://id.worldcat.org/fast/909650,Endangered plants
Endangered species,http://id.worldcat.org/fast/909658,Endangered species
Engineering drawings,http://id.worldcat.org/fast/910493,Engineering drawings
Environmental health,http://id.worldcat.org/fast/912999,Environmental health
Environmental impact analysis,http://id.worldcat.org/fast/913055,Environmental impact analysis
Environmental impact statements,http://id.worldcat.org/fast/913090,Environmental impact statements
Environmental law,http://id.worldcat.org/fast/913122,Environmental law
Environmental management,http://id.worldcat.org/fast/913186,Environmental management
Environmental monitoring,http://id.worldcat.org/fast/913214,Environmental monitoring
Environmental policy,http://id.worldcat.org/fast/913250,Environmental policy
Environmental protection,http://id.worldcat.org/fast/913324,Environmental protection
Estuaries,http://id.worldcat.org/fast/915654,Estuaries
Ethnic groups,http://id.worldcat.org/fast/915958,Ethnic groups
Ethnicity,http://id.worldcat.org/fast/916034,Ethnicity
Evacuation of civilians,http://id.worldcat.org/fast/916969,Evacuation of civilians
Evaluation,http://id.worldcat.org/fast/916975,Evaluation
Express highways,http://id.worldcat.org/fast/918809,Express highways
Factories,http://id.worldcat.org/fast/919645,Factories
Families,http://id.worldcat.org/fast/1728849,Families
Farms,http://id.worldcat.org/fast/921422,Farms
Faults (Geology),http://id.worldcat.org/fast/921993,Faults (Geology)
