layer_id	Themekey thesaurus	placekey value
fgdc974	GNIS	Ohio
fgdc975	LCSH	United States
fgdc979	GNIS	Michigan
fgdc982	GNIS	Arizona
fgdc983	None	Europe
fgdc985	GNIS	Guam
fgdc987	GNIS	Florida
fgdc99	LCSH	Europe
fgdc990	GNIS	Nevada
fgdc992	GNIS	Wyoming
fgdc994	GNIS	Rhode Island
fgdc996	GNIS	Idaho
fgdc999	GNIS	Pennsylvania
fgdc1001	GNIS	Michigan
fgdc1002	GNIS	Arizona
fgdc1004	GNIS	Missouri
fgdc1008	GNIS	Nebraska
fgdc1013	GNIS	Michigan
fgdc1014	LCSH	United States
fgdc1016	GNIS	United States
fgdc1017	GNS	China
fgdc1021	GNIS	Minnesota
fgdc1024	GNIS	Florida
fgdc1025	GNIS	Louisiana
fgdc1026	GNIS	Arizona
fgdc1027	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1030	GNIS	South Dakota
fgdc1032	LCSH	Palestine
fgdc1035	LCSH	Europe
fgdc1038	GNIS	Utah
fgdc1039	GNIS	American Samoa
fgdc1040	GNIS	Oklahoma
fgdc1041	GNS	United States
fgdc1042	GNIS	Kentucky
fgdc1043	GNIS	South Carolina
fgdc1044	LCSH	"Vietnam, Northern"
fgdc1047	GNIS	Colorado
fgdc1048	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1049	GNIS	Alaska
fgdc1051	GNIS	South Carolina
fgdc1052	GNIS	Idaho
fgdc1054	GNIS	Arkansas
fgdc1057	GNIS	North Dakota
fgdc1059	GNIS	Iowa
fgdc1061	GNIS	Nebraska
fgdc1063	GNS	Israel
fgdc1064	GNIS	Maine
fgdc1068	GNIS	Guam
fgdc1069	GNS	Israel
fgdc1071	None	Mexico
fgdc1074	GNIS	California
fgdc1075	GNIS	Arkansas
fgdc1078	GNIS	Michigan
fgdc1080	GNIS	Puerto Rico
fgdc1081	GNIS	Colorado
fgdc1085	GNIS	South Dakota
fgdc1086	GNIS	Indiana
fgdc1090	GNIS	Massachusetts
fgdc1094	GNIS	Wisconsin
fgdc1095	LCSH	Europe
