fgdc218	GNIS	 "New York | Ancram | Athens | Austerlitz | Cairo | Canaan | Catskill | Chatham | Claverack | Clermont | Coeymans | Copake | Coxsackie | Gallatin | Germantown | Ghent | Greenport | Greenville | Hillsdale | Hudson | Kinderhook | Livingston | Milan | Nassau | New Baltimore | New Lebanon | North East | Pine Plains | Red Hook | Saugerties | Schodack | Stephentown | Stockport | Stuyvesant | Taghkanic | Ulster | Westerlo"
fgdc218	GNIS	 "Connecticut | Canaan | Colebrook | Hartland | Norfolk | North Canaan | Salisbury"
fgdc219	GNIS	 "Indiana"
fgdc22	GNIS	 "District of Columbia | Washington (D.C.)"
fgdc220	GNS	 "Comoros | Glorioso Islands | Madagascar | Mayotte | Seychelles"
fgdc221	GNIS	 "Massachusetts"
fgdc222	GNIS	 "Michigan"
fgdc223	None	 "World"
fgdc223	LCSH	 "Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere"
fgdc224	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Polar regions | Antarctica | Arctic regions | Africa | Asia | Australia | Europe | North America | South America"
fgdc225	GNS (NIMA)	 "China | Hsin-yang | Xinyang | Sinyang | Henan Sheng | Anhui Sheng"
fgdc225	None	 "Henan Province | Anhui Province"
fgdc226	LCSH	 "Europe | Black Sea | Mediterranean Sea | Baltic Sea | North Sea"
fgdc227	GNS	 "El Salvador | Usulutan, Departamento de | Jiquilisco"
fgdc228	GNS	 "Nicaragua | Esteli, Departamento de | Esteli"
fgdc229	GNS	 "Nicaragua | Leon, Departamento de | Telica"
fgdc23	GNIS	 "Massachusetts | Boston"
fgdc230	GNIS	 "West Virginia"

fgdc232	GNIS	 "U.S. Minor Outlying Islands | Midway Islands"
fgdc233	GNIS	 "Massachusetts | Boston"
fgdc234	GNS	 "Nicaragua | Chinandega, Departamento de | Leon, Departamento de | Posoltega"
fgdc235	GNIS	 "Utah"
fgdc236	GNIS	 "New Mexico"
fgdc237	GNIS	 "Vermont"
fgdc238	GNIS	 "Florida"
fgdc239	GNIS	 "Michigan"
fgdc24	GNS (NIMA)	 "Italy | Rome | Vatican City"
fgdc240	None	 "Germany | German Confederation | Central Europe"
fgdc240	GNS	 "Germany | Poland | Kaliningrad Oblast | Belgium | Czech Republic | Lithuania"
fgdc241	GNIS	 "Maryland"
fgdc242	GNIS	 "Maine"
fgdc243	GNIS	 "Alaska"
fgdc244	None	 "Germany | German Confederation | Central Europe"
fgdc244	GNS	 "Germany"
fgdc245	GNIS	 "Texas"
fgdc246	GNIS	 "Kentucky"
fgdc247	GNIS	 "Indiana"
fgdc248	GNIS	 "Iowa"
fgdc249	GNS	 "Atlantic Ocean"
fgdc249	GNS	 "Portugal | Azores, Autonomous Region of the | São Miguel, Ilha de | Ponta Delgada"
fgdc25	GNIS	 "Louisiana"
fgdc250	None	 "Germany | German Confederation | Central Europe"
fgdc250	GNS	 "Germany | Belgium"
fgdc251	GNIS	 "Hawaii"
fgdc252	GNIS	 "Nebraska"
fgdc253	GNIS	 "Massachusetts | Rowe | Monroe | Florida | Savoy | Charlemont | Hawley | Heath | Colrain"
fgdc254	GNIS	 "Massachusetts | Medford"
fgdc255	GNS	 "Algeria | Tabelbala"
fgdc256	GNIS	 "Massachusetts | Boston | West Roxbury"
fgdc257	GNIS	 "Puerto Rico"
fgdc258	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America"
fgdc259	GNIS	 "Indiana"
fgdc26	GNS	 "Germany | Berlin"
fgdc260	None	 "United States"
fgdc261	GNS	 "Japan |  | Kyoto"
fgdc262	GNIS	 "Kansas"
fgdc263	LCSH	 "United States | Puerto Rico"
fgdc264	None	 "Europe"
fgdc265	GNIS	 "Alabama"

fgdc267	LCSH	 "United States | Puerto Rico"
fgdc268	GNS	 "Nicaragua | Leon, Departamento de | Leon"
fgdc269	GNS	 "Zimbabwe | Mutare"
fgdc269	GNS	 "Mozambique"
fgdc27	GNS (NGA)	 "China | Xinjiang Uygur Zizhiqu"
fgdc270	GNS (NIMA)	 "France | Paris"
fgdc271	GNS (NIMA)	 "Italy | Florence"
fgdc272	GNS	 "El Salvador | Usulutan, Departamento de | Berlin"
fgdc273	GNIS	 "Massachusetts | Boston | Roxbury"
fgdc274	GNIS	 "Oklahoma"
fgdc275	None	 "United States | Virginia"
fgdc276	LCSH	 "Europe"
fgdc277	GNIS	 "New York | New York, New York"
fgdc277		 "New Jersey"
fgdc278	GNIS	 "Indiana"
fgdc279	GNS (NIMA)	 "Austria | Vienna"
fgdc28	LCSH	 "United States | Puerto Rico"
fgdc280	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America | Polar Regions"
fgdc280	None	 "World"
fgdc281	GNIS	 "Washington (State)"
fgdc282	GNIS	 "New Hampshire"
fgdc283	GNIS	 "United States"
fgdc283	INCITS.38-200x (R2004),INCITS.31-200x (R2007),INCITS.454-200x,INCITS 455-200x,INCITS 446-2008	 "United States | U.S."
fgdc284	GNS	 "Burundi | Muyange-Gashoho"
fgdc285	GNS (NIMA)	 "Illinois | Chicago | Alsip | Bedford Park | Bellwood | Berwyn | Blue Island | Bridgeview | Broadview | Brookfield | Burbank | Burnham | Calumet City | Calumet Park | Cicero | Countryside | Des Plaines | Dolton | Elmwood Park | Evanston | Evergreen Park | Forest Park | Forest View | Franklin Park | Harwood Heights | Hodgkins | Hometown | Justice | La Grange | La Grange Park | Lincolnwood | Lyons | Maywood | McCook | Melrose Park | Merrionette Park | Morton Grove | Niles | Norridge | North Riverside | Oak Lawn | Oak Park | Park Ridge | River Forest | River Grove | Riverdale | Riverside | Robbins | Rosemont | Schiller Park | Skokie | Stickney | Stone Park | Summit | Westchester | Willow Springs"
fgdc286	GNIS	 "South Carolina"
fgdc287	GNIS	 "Washington | King County"
fgdc288	GNIS	 "Idaho"
