Matching text,URI,Label text
Sanborn Map Company,http://id.loc.gov/rwo/agents/n80082435,Sanborn Map Company
Massachusetts. Division of Marine Fisheries,http://id.loc.gov/rwo/agents/n80086654,Massachusetts. Division of Marine Fisheries
[Geological Survey],http://id.loc.gov/rwo/agents/n80092173,Geological Survey (U.S.)
Royal Geographical Society (Great Britain),http://id.loc.gov/rwo/agents/n80152915,Royal Geographical Society (Great Britain)
Jet Propulsion Laboratory (U.S.),http://id.loc.gov/rwo/agents/n81036001,Jet Propulsion Laboratory (U.S.)
Hachette (Firm),http://id.loc.gov/rwo/agents/n81053359,Hachette (Firm)
EROS Data Center,http://id.loc.gov/rwo/agents/n81062788,EROS Data Center
"Union News Company (Boston, Mass.)",http://id.loc.gov/rwo/agents/n81063081,"Union News Company (Boston, Mass.)"
American Association of Port Authorities,http://id.loc.gov/rwo/agents/n81121404,American Association of Port Authorities
Zhonghua di tu xue she.,http://id.loc.gov/rwo/agents/n81122528,Zhonghua di tu xue she.
United States. Defense Mapping Agency. Hydrographic/Topographic Center,http://id.loc.gov/rwo/agents/n81134632,United States. Defense Mapping Agency. Hydrographic/Topographic Center
Aeronautical Chart and Information Center (U.S.),http://id.loc.gov/rwo/agents/n82108955,Aeronautical Chart and Information Center (U.S.)
Kelly's Directories Ltd.,http://id.loc.gov/rwo/agents/n82115441,Kelly's Directories Ltd.
Harvard Forest (Research facility),http://id.loc.gov/rwo/agents/n82116593,Harvard Forest (Research facility)
United States. Agency for International Development,http://id.loc.gov/rwo/agents/n82167227,United States. Agency for International Development
United States. Bureau of the Census.,http://id.loc.gov/rwo/agents/n83054431,United States. Bureau of the Census.
Cincinnati (Ohio). City Planning Commission,http://id.loc.gov/rwo/agents/n83145339,Cincinnati (Ohio). City Planning Commission
R. Oldenbourg Verlag.,http://id.loc.gov/rwo/agents/n83182239,R. Oldenbourg Verlag.
"Environmental Systems Research Institute (Redlands, Calif.)",http://id.loc.gov/rwo/agents/n83191197,"Environmental Systems Research Institute (Redlands, Calif.)"
National Wetlands Inventory (U.S.),http://id.loc.gov/rwo/agents/n84111448,National Wetlands Inventory (U.S.)
Metropolitan Planning Organization (Mass.). Central Transportation Planning Staff,http://id.loc.gov/rwo/agents/n84123207,Metropolitan Planning Organization (Mass.). Central Transportation Planning Staff
Historical Society of Southern California,http://id.loc.gov/rwo/agents/n85127078,Historical Society of Southern California
Office of the Engineer Commissioner D.C.,http://id.loc.gov/rwo/agents/n85149691,Office of the Engineer Commissioner D.C.
T. Moore's Lithography,http://id.loc.gov/rwo/agents/n85207778,T. Moore's Lithography
United States. National Agricultural Statistics Service,http://id.loc.gov/rwo/agents/n85343209,United States. National Agricultural Statistics Service
"Dietrich Reimer Verlag (Berlin, Germany)",http://id.loc.gov/rwo/agents/n86112407,"Dietrich Reimer Verlag (Berlin, Germany)"
"Technical Advisory Corporation (New York, N.Y.)",http://id.loc.gov/rwo/agents/n87122292,"Technical Advisory Corporation (New York, N.Y.)"
Boston Water Power Company,http://id.loc.gov/rwo/agents/n88002785,Boston Water Power Company
E.P. Dutton (Firm),http://id.loc.gov/rwo/agents/n88072124,E.P. Dutton (Firm)
Andrew B. Graham Co.,http://id.loc.gov/rwo/agents/n88080443,Andrew B. Graham Co.
Librairie Neal,http://id.loc.gov/rwo/agents/n88238420,Librairie Neal
SPOT Image Corporation,http://id.loc.gov/rwo/agents/n88238438,SPOT Image Corporation
Mondhare et Jean,http://id.loc.gov/rwo/agents/n89146371,Mondhare et Jean
Calcutta Improvement Trust,http://id.loc.gov/rwo/agents/n89203101,Calcutta Improvement Trust
Association for the Preservation of Cape Cod,http://id.loc.gov/rwo/agents/n89604176,Association for the Preservation of Cape Cod
Massachusetts. Bureau of Waste Site Cleanup,http://id.loc.gov/rwo/agents/n90693809,Massachusetts. Bureau of Waste Site Cleanup
International Boundaries Research Unit,http://id.loc.gov/rwo/agents/n91105599,International Boundaries Research Unit
GeoSystems Global Corp.,http://id.loc.gov/rwo/agents/n95080456,GeoSystems Global Corp.
Areas of Critical Environmental Concern Program (Mass.),http://id.loc.gov/rwo/agents/n96016944,Areas of Critical Environmental Concern Program (Mass.)
"Applied Geographics, Inc.",http://id.loc.gov/rwo/agents/n96028710,"Applied Geographics, Inc."
"Geographic Data Technology, Inc.",http://id.loc.gov/rwo/agents/n96076335,"Geographic Data Technology, Inc."
Massachusetts. Division of Health Care Finance and Policy,http://id.loc.gov/rwo/agents/n97082533,Massachusetts. Division of Health Care Finance and Policy
Drinking Water Program (Mass.),http://id.loc.gov/rwo/agents/n99256677,Drinking Water Program (Mass.)
Land Info (Firm),http://id.loc.gov/rwo/agents/no00022178,Land Info (Firm)
John Mohr Co.,http://id.loc.gov/rwo/agents/no00041050,John Mohr Co.
USGS World Energy Assessment Team,http://id.loc.gov/rwo/agents/no00065874,USGS World Energy Assessment Team
Land Cover Characterization Program (U.S.),http://id.loc.gov/rwo/agents/no00078736,Land Cover Characterization Program (U.S.)
CountryWatch.com INC.,http://id.loc.gov/rwo/agents/no00084425,CountryWatch.com INC.
National Committee for an Effective Congress,http://id.loc.gov/rwo/agents/no2001001942,National Committee for an Effective Congress
Istituto cartografico italiano,http://id.loc.gov/rwo/agents/no2001052040,Istituto cartografico italiano
University of Minnesota. Minnesota Population Center,http://id.loc.gov/rwo/agents/no2002057444,University of Minnesota. Minnesota Population Center
National Food Information System (Eritrea),http://id.loc.gov/rwo/agents/no2002100511,National Food Information System (Eritrea)
ISciences (Firm),http://id.loc.gov/rwo/agents/no2003087065,ISciences (Firm)
Global Mapping International (Firm),http://id.loc.gov/rwo/agents/no2003118085,Global Mapping International (Firm)
United States. National Geospatial-Intelligence Agency,http://id.loc.gov/rwo/agents/no2004002657,United States. National Geospatial-Intelligence Agency
Cape Peninsula Publicity Association,http://id.loc.gov/rwo/agents/no2004058401,Cape Peninsula Publicity Association
ESRI Geoinformatik,http://id.loc.gov/rwo/agents/no2004082524,ESRI Geoinformatik
Harvard University. Library. Open Collections Program,http://id.loc.gov/rwo/agents/no2004092861,Harvard University. Library. Open Collections Program
University of Michigan. China Data Center,http://id.loc.gov/rwo/agents/no2006023263,University of Michigan. China Data Center
Industrial World Co.,http://id.loc.gov/rwo/agents/no2007032908,Industrial World Co.
New England Street Railway Club,http://id.loc.gov/rwo/agents/no2007054319,New England Street Railway Club
Schneider und Weigel.,http://id.loc.gov/rwo/agents/no2007084098,Schneider und Weigel.
Cartoleria Chiesi,http://id.loc.gov/rwo/agents/no2007117316,Cartoleria Chiesi
Oscar und Robert Enoch (Firm),http://id.loc.gov/rwo/agents/no2008031394,Oscar und Robert Enoch (Firm)
Seattle Pioneer Pocket Guide,http://id.loc.gov/rwo/agents/no2008031426,Seattle Pioneer Pocket Guide
Mills Engraving Co.,http://id.loc.gov/rwo/agents/no2008039285,Mills Engraving Co.
Smith-Brooks Co.,http://id.loc.gov/rwo/agents/no2008039396,Smith-Brooks Co.
Rosselin (Firm),http://id.loc.gov/rwo/agents/no2008060571,Rosselin (Firm)
Seyffardt's Boekhandel,http://id.loc.gov/rwo/agents/no2008060786,Seyffardt's Boekhandel
Parker Eng. Co.,http://id.loc.gov/rwo/agents/no2008138745,Parker Eng. Co.
Fournier (Firm),http://id.loc.gov/rwo/agents/no2008175630,Fournier (Firm)
Cambridge GIS,http://id.loc.gov/rwo/agents/no2009070869,Cambridge (Mass.). Geographic Information Systems
Cambridge (Mass.). Geographic Information Systems,http://id.loc.gov/rwo/agents/no2009070869,Cambridge (Mass.). Geographic Information Systems
King County GIS Center,http://id.loc.gov/rwo/agents/no2012069241,King County GIS Center
Boston Safe Deposit and Trust Company,http://id.loc.gov/rwo/agents/no90015931,Boston Safe Deposit and Trust Company
National Soil Survey Center (U.S.),http://id.loc.gov/rwo/agents/no91026610,National Soil Survey Center (U.S.)
United States. Bureau of Transportation Statistics,http://id.loc.gov/rwo/agents/no93027090,United States. Bureau of Transportation Statistics
Smithsonian Institution. Global Volcanism Program,http://id.loc.gov/rwo/agents/no95022613,Smithsonian Institution. Global Volcanism Program
Cape Cod Commission,http://id.loc.gov/rwo/agents/no95023074,Cape Cod Commission
Brown and Parsons,http://id.loc.gov/rwo/agents/no96045883,Brown and Parsons
Texas. Legislature. Legislative Council. Research Division,http://id.loc.gov/rwo/agents/no97001649,Texas. Legislature. Legislative Council. Research Division
"GeoLytics, Inc.",http://id.loc.gov/rwo/agents/no97003406,"GeoLytics, Inc."
